Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.37096642;0.16499034;0.4061900;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;0.65609757;0.11010452;0.3318200;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.1661495;NA;NA;-0.3678646
Kostrzewa-Nowak & Nowak (2018)b;1.01518610;0.14011146;0.3743146;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.1520942;NA;NA;6.0562104
Kostrzewa-Nowak & Nowak (2020a)a;1.21940410;0.07648916;0.2765667;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.830197;0.1222041;1.406158;2.54191102;0.7821651
Kostrzewa-Nowak & Nowak (2020a)b;0.37505115;0.04608922;0.2146840;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.822292;0.9084411;2.049080;0.38109542;1.0068914
Kostrzewa-Nowak & Nowak (2020b)a;0.38620585;0.08535345;0.2921531;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.841245;-0.2572201;2.090661;0.15113574;0.6309329
Kostrzewa-Nowak & Nowak (2020b)b;0.02859539;0.07886370;0.2808268;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.786151;-0.3891877;1.556136;-0.90241028;0.6797493
Kostrzewa-Nowak & Nowak (2020b)c;0.94684957;0.11805085;0.3435853;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.989014;0.0849445;1.947957;-0.03348874;0.5642967
Kostrzewa-Nowak & Nowak (2020b)d;0.39273162;0.08557584;0.2925335;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.552852;-0.3524317;1.465227;0.09401747;1.3706480
Kostrzewa-Nowak & Nowak (2020b)e;1.21265471;0.14316367;0.3783698;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.234086;-0.3042265;2.802416;0.41514539;1.4141303
Kostrzewa-Nowak et al. (2019);3.91051177;3.72053816;1.9288697;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.6869667;NA;NA;6.1654634
Steensberg et al. (2001);-1.39565233;0.27840393;0.5276400;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.97233664;0.10773559;0.3282310;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.03360676;0.15134167;0.3890266;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.07349711;0.15176892;0.3895753;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5777077
Lancaster et al. (2005)c;-0.23026973;0.15653115;0.3956402;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4151270
Harbaum et al. (2016)a;-0.21498672;0.08085002;0.2843414;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.0000000;NA;2.15308601;-0.9735009
Harbaum et al. (2016)b;1.08224361;0.19901616;0.4461123;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.1558756;NA;1.54203677;0.3588494
