Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;0.47748212;0.08569781;0.2927419;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.31070380;NA;NA;1.1330623
Kostrzewa-Nowak & Nowak (2018)b;1.46320953;0.16768322;0.4094914;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.3990345
Kostrzewa-Nowak & Nowak (2020a)a;0.78646879;0.04875414;0.2208034;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.735675;0.96068830;0.4990358;1.90938154;0.8845907
Kostrzewa-Nowak & Nowak (2020a)b;0.45678353;0.04082094;0.2020419;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.491491;0.48710141;4.5053771;0.41110918;0.6996642
Kostrzewa-Nowak & Nowak (2020b)a;0.44323013;0.07493378;0.2737403;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.006004;1.05150501;1.6864439;0.17687686;1.0391676
Kostrzewa-Nowak & Nowak (2020b)b;-0.05197442;0.06766809;0.2601309;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.050342;0.92489038;1.3586128;0.01080231;1.0614154
Kostrzewa-Nowak & Nowak (2020b)c;0.71244183;0.08660079;0.2942801;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.401560;0.91215342;1.3484315;0.21005035;0.9025099
Kostrzewa-Nowak & Nowak (2020b)d;0.60958596;0.08150161;0.2854849;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.528285;-0.09224038;2.0381460;0.28264057;1.5192623
Kostrzewa-Nowak & Nowak (2020b)e;1.15965330;0.11799663;0.3435064;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.556505;0.50241450;1.4117957;0.47905061;4.8388090
Kostrzewa-Nowak et al. (2019);5.37173298;5.90171529;2.4293446;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.19755690;NA;NA;9.6221851
Steensberg et al. (2001);-0.85429940;0.15743074;0.3967754;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
