Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;2.3983589;0.37618759;0.6133413;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.45779590;NA;NA;1.1918914
Kostrzewa-Nowak & Nowak (2018)b;2.3092952;0.35522354;0.5960063;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.6218485
Kostrzewa-Nowak & Nowak (2020a)a;1.3924021;0.08669193;0.2944349;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.851163;0.99462890;0.5239249;1.98596726;0.9172606
Kostrzewa-Nowak & Nowak (2020a)b;1.9134798;0.12558984;0.3543866;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.546471;0.48771914;4.6281136;0.41152543;0.7119473
Kostrzewa-Nowak & Nowak (2020b)a;1.3773035;0.16182014;0.4022687;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.141421;1.11264419;1.7283755;0.17688978;1.1029448
Kostrzewa-Nowak & Nowak (2020b)b;1.4129841;0.16617585;0.4076467;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.192855;0.97047652;1.3811257;0.01091321;1.1250942
Kostrzewa-Nowak & Nowak (2020b)c;1.4250665;0.16767606;0.4094827;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.583471;0.96129533;1.4039224;0.21243483;0.9640532
Kostrzewa-Nowak & Nowak (2020b)d;1.6958386;0.20464718;0.4523795;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.673350;-0.09232185;2.0743147;0.28354728;1.6241066
Kostrzewa-Nowak & Nowak (2020b)e;3.9641529;0.76633765;0.8754071;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.696656;0.50241749;1.4626920;0.49405032;5.1144321
Kostrzewa-Nowak et al. (2019);7.9043664;14.73081615;3.8380745;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.20910212;NA;NA;9.6414995
Steensberg et al. (2001);-0.4591989;0.14330535;0.3785569;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
