Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.13676471;0.10935657;0.3306910;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;-0.52929758;0.07327794;0.2706990;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16240702;NA;NA;-0.3605022
Kostrzewa-Nowak & Nowak (2018)b;-0.33012121;0.06716451;0.2591612;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15029386;NA;NA;5.9947364
Kostrzewa-Nowak & Nowak (2020a)a;0.41009157;0.03336461;0.1826598;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.597944;0.12204727;1.286224;2.23987049;0.7326032
Kostrzewa-Nowak & Nowak (2020a)b;0.33394537;0.03245081;0.1801411;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.650848;0.89295629;1.847175;0.38037577;0.9454102
Kostrzewa-Nowak & Nowak (2020b)a;1.27232441;0.10689345;0.3269456;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.648141;-0.25092445;1.995159;0.15100128;0.5870502
Kostrzewa-Nowak & Nowak (2020b)b;0.94086227;0.08396884;0.2897738;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.590499;-0.38754793;1.508062;-0.86104856;0.6451324
Kostrzewa-Nowak & Nowak (2020b)c;-0.03630692;0.05634685;0.2373749;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.741255;0.08490858;1.736262;-0.03348030;0.5075755
Kostrzewa-Nowak & Nowak (2020b)d;0.15753924;0.05708124;0.2389168;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.360863;-0.35211862;1.405559;0.09365064;1.2261842
Kostrzewa-Nowak & Nowak (2020b)e;0.28197961;0.05879042;0.2424674;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.997808;-0.29598181;2.797445;0.37281259;1.2541013
Kostrzewa-Nowak et al. (2019);-3.67796768;2.36341792;1.5373412;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.60531775;NA;NA;6.1359450
Steensberg et al. (2001);0.14379457;0.09179503;0.3029770;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);0.86094531;0.07128145;0.2669859;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.12422360;0.10912277;0.3303374;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.00000000;0.10802052;0.3286648;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5737642
Lancaster et al. (2005)c;0.32866476;0.11573628;0.3402003;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4132095
Harbaum et al. (2016)a;1.09598695;0.09384277;0.3063377;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.12318890;-0.9557096
Harbaum et al. (2016)b;1.82857143;0.25077551;0.5007749;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15277440;NA;1.43052482;0.3588315
